number_ of_syllables,number_of_pauses,rate_of_speech,articulation_rate,speaking_duration,original_duration,balance,f0_mean,f0_std,f0_median,f0_min,f0_max,f0_quantile25,f0_quan75,title,url
4242,334,3,4,1037.7,1264.9,0.8,122.67,22.83,121.2,73,395,108,135,"President Reagan's Address to the Nation on the Situation in Nicaragua on March 16, 1986",https://www.youtube.com/watch?v=QaJQFor6KhQ
4890,456,4,5,1015.8,1377.5,0.7,113.64,18.82,111.6,76,398,100,125,"President Reagan's Address on National Security from the Oval Office, February 26, 1986",https://www.youtube.com/watch?v=nk9S9PaP3ZI
2665,233,3,4,649.5,845.4,0.8,146.25,49.55,135.9,71,418,118,154,"President Reagan's Remarks at the Statue of Liberty on Governors Island, New York, July 3, 1986",https://www.youtube.com/watch?v=V0umebqc8FI
3874,410,3,5,840.0,1190.4,0.7,138.87,37.29,131.4,69,401,112,161,"Address to the Nation on Drug Abuse Campaign, September 14, 1986",https://www.youtube.com/watch?v=pwpciZ7R8UU
5129,462,4,5,1037.9,1416.7,0.7,148.79,41.39,140.5,58,376,123,162,"President Reagan's Address to the United Nations, September 26, 1983",https://www.youtube.com/watch?v=FKMOPjkuMPE
5436,465,4,5,1161.6,1521.2,0.8,120.09,18.89,118.7,72,381,107,131,"President Reagan's Address to the Nation on Lebanon and Grenada, October 27, 1983",https://www.youtube.com/watch?v=KaCmwE01Ngs
7190,533,4,5,1432.6,1774.1,0.8,124.88,21.77,122.9,71,398,110,138,"President Reagan's Address to the Nation on Central America, May 9, 1984",https://www.youtube.com/watch?v=P0FVb4OWR30
4318,316,2,3,1334.9,1806.8,0.7,147.32,55.54,129.7,71,419,107,166,"President Reagan's Remarks Honoring the Vietnam War's Unknown Soldier, May 28, 1984",https://www.youtube.com/watch?v=s9A3GMpUhEQ
2750,72,4,5,574.7,622.1,0.9,120.89,27.66,115.0,72,350,102,134,"President Reagan's Remarks on the Air Traffic Controllers Strike in Rose Garden, August 3, 1981",https://www.youtube.com/watch?v=YEqOSzgQNhI
6706,470,4,5,1267.2,1621.8,0.8,122.19,25.08,119.0,67,399,107,133,"President Reagan's Address to the Nation on the Program for Economic Recovery, September 24, 1981",https://www.youtube.com/watch?v=3xH6I3c6fAE
